report_path,mode,context_length,d_model,num_layers,measured_step_ms,mode_step_ms,top_kernel_name,top_kernel_time_pct,top_kernel_instances,softmax_avg_ns,final_matmul_avg_ns,softmax_to_final_matmul_ratio,h2d_total_mb,d2d_total_mb
nsys_reports/nsys_forward_ctx128_d256_L4.nsys-rep,forward,128,256,4,7.4809204000000005,44.690835799999995,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),39.1,15,396443.1,64054.3,6.189172311616862,119.729,
nsys_reports/nsys_forward_ctx256_d256_L4.nsys-rep,forward,256,256,4,8.0901768,43.7011463,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),54.7,135,396403.5,66651.6,5.947396611634229,119.746,
nsys_reports/nsys_forward_ctx512_d256_L4.nsys-rep,forward,512,256,4,8.833811,42.1435169,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),48.4,135,502253.1,75704.8,6.63436268241908,119.778,
nsys_reports/nsys_forward_ctx1024_d256_L4.nsys-rep,forward,1024,256,4,13.3028927,42.0874623,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),39.0,375,401165.4,99759.9,4.021309163301086,119.844,
nsys_reports/nsys_forward_backward_ctx128_d256_L4.nsys-rep,forward_backward,128,256,4,37.4062147,80.9102309,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, float, float, float, at::native::<unnamed>…",11.6,15,401461.3,157754.8,2.544843643426381,119.729,141.558
nsys_reports/nsys_forward_backward_ctx256_d256_L4.nsys-rep,forward_backward,256,256,4,36.624795899999995,83.44787140000001,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),14.7,135,398851.1,169604.5,2.3516539950296127,119.746,283.116
nsys_reports/nsys_forward_backward_ctx512_d256_L4.nsys-rep,forward_backward,512,256,4,34.7582198,78.14448309999999,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),13.4,135,379685.3,145751.1,2.605025279397548,119.778,566.231
nsys_reports/nsys_forward_backward_ctx1024_d256_L4.nsys-rep,forward_backward,1024,256,4,45.392957700000004,77.52079429999999,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),11.5,375,382931.3,145603.7,2.6299558321663525,119.844,1132.462
nsys_reports/nsys_training_step_ctx128_d256_L4.nsys-rep,training_step,128,256,4,44.6246911,88.28514870000001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…",11.9,3780,396470.6,129267.6,3.067053151756511,119.729,141.558
nsys_reports/nsys_training_step_ctx256_d256_L4.nsys-rep,training_step,256,256,4,45.511253200000006,87.4542167,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),11.4,135,408082.5,133698.2,3.052266223479448,119.746,283.116
nsys_reports/nsys_training_step_ctx512_d256_L4.nsys-rep,training_step,512,256,4,46.214503,88.3360403,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),11.8,135,390404.0,138214.6,2.8246220008595326,119.778,566.231
nsys_reports/nsys_training_step_ctx1024_d256_L4.nsys-rep,training_step,1024,256,4,47.40541,84.7035483,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params),10.9,375,398534.4,137636.8,2.8955511897980775,119.844,1132.462
